key;version;w_key;w_wins1v1;w_wins2v2;l_key;l_wins1v1;l_wins2v2;date;notes
244;1.09v3b61;ECTH;5;0;OTTO;3;0;2023-11-25;
243;1.09v3b61;ECTH;5;0;OTTO;0;0;2023-11-24;
242;1.09v3b61;ECTH;5;0;OTTO;2;0;2023-11-20;
241;1.09v3b61;OTTO;5;0;ANDY;2;0;2023-11-12;
240;1.09v3b61;MISHA;5;0;ECTH;3;0;2023-11-10;
239;1.09v3b61;ECTH;5;0;MISHA;3;0;2023-11-10;
238;1.09v3b61;OTTO;5;0;MISHA;1;0;2023-11-08;
237;1.09v3b61;MISHA;5;0;OTTO;2;0;2023-11-07;
236;1.09v3b60.9;AHWE;5;0;GRENDAL;3;0;2023-11-07;
235;1.09v3b61;MISHA;5;0;OTTO;2;0;2023-11-07;
234;1.09v3b61;MISHA;5;0;OTTO;2;0;2023-11-06;
233;1.09v3b61;MISHA;5;0;OTTO;3;0;2023-11-06;
232;1.09v3b60.9;OTTO;5;0;MISHA;4;0;2023-11-05;ArCh4Ng3L has finally been able to defend against Vodischka retaliation and stay on the 1st spot
231;1.09v3b60.9;OTTO;4;0;MISHA;0;0;2023-10-27;Let's see for how long Arch4 keeps this spot.
230;1.09v3b60.8;GRENDAL;5;0;RAINY;3;0;2023-10-25;
229;1.09v3b60.8;MISHA;5;0;OTTO;4;0;2023-10-24;Arch4ngel put a better fight this time. There's a great game inside this pack.
228;1.09v3b60.8;MISHA;5;0;OTTO;2;0;2023-10-23;
227;1.09v3b60.8;MISHA;5;0;OTTO;3;0;2023-10-22;A pack of 8 more replays are included, but not counted as challenge because they were played without neutral. FFG Score 5-3 for Misha aswell
226;1.09v3b60.8;MISHA;5;0;ECTH;3;0;2023-10-21;
225;1.09v3b60.8;ECTH;5;0;MISHA;4;0;2023-10-21;
224;1.09v3b60.8;MISHA;5;0;OTTO;2;0;2023-10-16;
223;1.09v3b60.8;MISHA;5;0;OTTO;2;0;2023-10-16;
222;1.09v3b60.8;MISHA;5;0;ECTH;0;0;2023-10-16;
221;1.09v3b60.7;ECTH;5;0;OTTO;4;0;2023-10-16;
220;1.09v3b60.7;OTTO;3;0;ANDY;1;0;2023-10-09;
219;1.09v3b60.7;MISHA;5;0;OTTO;2;0;2023-10-08;
218;1.09v3b60.4;MISHA;5;0;OTTO;1;0;2023-10-08;
217;KICK_AND_ADD_AT_10;GRENDAL;0;0;NINKA;0;0;2023-10-08;
216;KICK_AND_ADD_AT_10;RAINY;0;0;THORIN;0;0;2023-10-08;
215;1.09v3b60.4;MISHA;4;0;GRENDAL;0;0;2023-10-08;
214;1.09v3b60.4;ANDY;5;0;OTTO;4;0;2023-10-05;
213;1.09v3b60.4;OTTO;5;0;MISHA;0;0;2023-10-04;
212;1.09v3b60.4;MISHA;5;0;ECTH;4;0;2023-10-02;
211;1.09v3b60.4;ECTH;5;0;OTTO;3;0;2023-10-02;
210;1.09v3b60.4;ECTH;5;0;OTTO;3;0;2023-10-02;
209;1.09v3b60.4;ANDY;5;0;MISHA;4;0;2023-10-01;
208;1.09v3b60.4;MISHA;5;0;ECTH;2;0;2023-09-30;
207;1.09v3b60.4;OTTO;5;0;MISHA;4;0;2023-09-29;
206;1.09v3b60.4;MISHA;5;0;OTTO;3;0;2023-09-26;
205;1.09v3b60.4;ECTH;5;0;MISHA;3;0;2023-09-24;
204;1.09v3b60.4;MISHA;5;0;OTTO;4;0;2023-09-19;
203;1.09v3b60.4;MISHA;5;0;OTTO;4;0;2023-09-18;
202;1.09v3b60.4;MISHA;5;0;OTTO;1;0;2023-09-15;
201;1.09v3b60.2;MISHA;5;0;OTTO;3;0;2023-09-12;
200;1.09v3b60.2;LOLO;10;0;OTTO;1;0;2023-09-10;Lothlorien has took over Arch's place by overkill! It was also agreed Archangel would be demoted to tier 5 untill Guerrilla shows up to restore balance in earth and discord.
199;1.09v3b60.2;OTTO;5;0;MISHA;0;0;2023-09-05;
198;1.09v3b60.2;ECTH;6;0;MISHA;4;0;2023-09-03;
197;1.09v3b60.2;ANDY;5;0;OTTO;1;0;2023-08-31;
196;1.09v3b60.2;MISHA;5;0;ECTH;2;0;2023-08-06;
195;1.09v3b60.2;LOLO;5;0;MISHA;3;0;2023-08-06;
194;1.09v3b60;LOLO;5;0;ANDY;3;0;2023-07-20;
193;1.09v3b59;SAURON;4;0;ECTH;3;0;2023-04-29;
192;KICK_AND_ADD_AT_10;NINKA;0;0;DOBBY;0;0;2023-04-29;
191;KICK_AND_ADD_AT_10;THORIN;0;0;LUXUS;0;0;2023-04-29;
190;1.09v3b59;ECTH;5;0;MISHA;1;0;2023-04-29;
189;1.09v3b58;ECTH;5;0;LOLO;0;0;2023-04-12;
188;1.09v3b58;ECTH;5;0;ANDY;3;0;2023-03-06;
187;1.09v3b58;ECTH;5;0;ANDY;2;0;2023-03-02;
186;1.09v3b56;ENUMA;4;0;MUSTAFA;1;0;2022-12-31;
185;1.09v3b56;ENUMA;4;0;GRENDAL;0;0;2022-11-25;
184;1.09v3b47;OTTO;5;0;ANDY;4;0;2022-07-17;
183;1.09v3b47;SAURON;4;0;ECTH;0;0;2022-07-16;
182;1.09v2;ECTH;5;0;ENUMA;2;0;2022-07-04;
181;1.09v2;ANDY;5;0;LOLO;3;0;2022-07-01;
180;1.09v3beta45a1;ANDY;5;0;ECTH;0;0;2022-06-27;
179;1.09v3beta45;ANDY;5;0;ECTH;1;0;2022-05-21;
178;NO_SCORE_MODE;ECTH;0;0;DOBBY;0;0;2022-04-09;
177;NO_SCORE_MODE;ECTH;0;0;SAURON;0;0;2022-03-31;
176;1.09v2;ECTH;5;0;LOLO;0;0;2022-03-18;
175;1.09v2;ECTH;5;0;LOLO;3;0;2022-03-10;
174;KICK_AND_ADD_AT_10;KURDISH;0;0;NATHAN;0;0;2022-02-25;
173;1.09v2;ENUMA;5;0;ECTH;2;0;2022-02-21;
172;KICK_AND_ADD_AT_10;ENUMA;0;0;IMPERIALIST;0;0;2021-12-12;
171;1.09v2;MISHA;5;0;ECTH;2;0;2021-12-12;
170;1.09v2;ECTH;6;0;HITMACHINE;1;0;2021-11-25;
169;NO_SCORE_MODE;ECTH;0;0;NATHAN;0;0;2021-11-23;
168;NO_SCORE_MODE;ECTH;0;0;YODA;0;0;2021-11-16;
167;1.09v3beta33;OTTO;5;0;ECTH;1;0;2021-11-12;
166;1.09v3beta33;OTTO;5;0;ANDY;4;0;2021-11-04;
165;1.09v2;OTTO;5;0;ANDY;3;0;2021-10-20;
164;1.09v2;LUXUS;3;0;DOBBY;0;0;2021-10-19;
163;1.09v2;LUXUS;5;0;SAURON;3;0;2021-10-18;
162;1.09v2;OTTO;5;0;DOBBY;4;0;2021-10-16;
161;KICK_AND_ADD_AT_10;IMPERIALIST;0;0;ECTH;0;0;2021-10-16;ecth asked to be removed from the list
160;NO_SCORE_MODE;DOBBY;0;0;SAURON;0;0;2021-10-16;
159;NO_SCORE_MODE;ENUMA;0;0;YODA;0;0;2021-10-16;
158;1.09v2;OTTO;4;0;ECTH;1;0;2021-10-11;
157;NO_SCORE_MODE;DOBBY;0;0;HALET;0;0;2021-10-11;
156;1.09v3beta31;ECTH;5;0;OTTO;3;0;2021-10-06;
155;NO_SCORE_MODE;ANDY;0;0;LUXUS;0;0;2021-09-27;
154;NO_SCORE_MODE;OTTO;0;0;LUXUS;0;0;2021-09-22;
153;NO_SCORE_MODE;ECTH;0;0;LUXUS;0;0;2021-09-20;
152;1.09v2;ANDY;5;0;ECTH;0;0;2021-09-13;
151;1.09v2;LOLO;5;0;YODA;0;0;2021-09-12;
150;1.09v3beta30;ANDY;5;0;MUSTAFA;0;0;2021-09-10;
149;1.09v3beta30;OTTO;5;0;ECTH;3;0;2021-09-10;
148;1.09v3beta30;LUXUS;5;0;SAURON;3;0;2021-09-10;
147;NO_SCORE_MODE;YODA;0;0;HALET;0;0;2021-09-07;
146;1.09v2;HALET;5;0;DOBBY;2;0;2021-09-01;
145;1.09v2;ANDY;5;0;LOLO;1;0;2021-08-23;
144;1.09v3beta30;LOLO;5;0;MUSTAFA;1;0;2021-08-21;
143;1.09v3beta30;SAURON;5;0;ECTH;2;0;2021-08-18;
142;1.09v2;OTTO;5;0;LOLO;1;0;2021-08-16;
141;1.09v3beta30;ECTH;4;0;ANDY;2;0;2021-08-16;
140;1.09v3beta30;ECTH;5;0;LOLO;1;0;2021-08-14;
139;1.09v2;LOLO;5;0;ECTH;4;0;2021-08-12;
138;1.09v2;ANDY;3;0;ENUMA;0;0;2021-08-11;
137;KICK_AND_ADD_AT_10;LOLO;0;0;DOBBY;0;0;2021-08-11;Dobby himself asked to be removed from the list.
136;1.09v2;IMPERIALIST;5;0;ENUMA;2;0;2021-08-05;
135;1.09v2;IMPERIALIST;5;0;LOLO;0;0;2021-08-05;
134;KICK_AND_ADD_AT_10;LOLO;0;0;GOSPURE;0;0;2021-08-04;
133;1.09v2;ANDY;5;0;LOLO;3;0;2021-08-04;
132;1.09v2;ANDY;5;0;OTTO;3;0;2021-08-01;
131;1.09v2;ECTH;5;0;SAURON;4;0;2021-08-01;
130;NO_SCORE_MODE;ECTH;0;0;LUXUS;0;0;2021-07-27;
129;1.09v2;NATHAN;5;0;LOLO;2;0;2021-07-19;
128;NO_SCORE_MODE;LUXUS;0;0;ECTH;0;0;2021-07-18;
127;1.09v2;LOLO;5;0;JONES;2;0;2021-07-14;
126;NO_SCORE_MODE;ECTH;0;0;OTTO;0;0;2021-07-06;
125;1.09v2;MISHA;5;0;LOLO;1;0;2021-06-20;
124;1.09v2;LOLO;3;0;NINKA;0;0;2021-06-20;
123;NO_SCORE_MODE;OTTO;0;0;DOBBY;0;0;2021-06-20;
122;NO_SCORE_MODE;NINKA;0;0;PIKACHU;0;0;2021-06-14;
121;NO_SCORE_MODE;DOBBY;0;0;ECTH;0;0;2021-06-11;
120;1.09v2;DOBBY;5;0;OTTO;3;0;2021-06-09;
